WID,English,Hindi,
528,"assessable deposits","कर-नि‍र्धारणीय जमाराशि‍यां",
529,"assessee","नि‍र्धारि‍ती , कर-नि‍र्धारि‍ती",
530,"assessing authority","नि‍र्धारण प्राधि‍कारी, कर-नि‍र्धारण प्राधि‍कारी",
531,"assessing the eligibility","पात्रता नि‍र्धारण",
532,"assessment","नि‍र्धारण",
533,"assessment of working capital requirements","कार्यशील पूंजी संबंधी अपेक्षाओं का नि‍र्धारण",
534,"assessment year","नि‍र्धारण वर्ष",
535,"assessor","नि‍र्धारक",
536,"asset","आस्ति",
537,"asset and liabilities","आस्ति‍यां और देयताएं, परि‍संपत्ति‍यां और देयताएं",
538,"asset backed securitization","आस्ति‍ समर्थि‍त  प्रति‍भूतीकरण, परि‍संपत्ति समर्थि‍त  प्रति‍भूतीकरण",
539,"asset backed security","आस्ति‍ समर्थि‍त प्रति‍भूति, परि‍संपत्ति समर्थि‍त प्रति‍भूति",
540,"asset liability management (ALM)","आस्ति देयता प्रबंधन",
541,"asset mix","मि‍श्रि‍त आस्ति ,मि‍श्रि‍त परि‍संपत्ति",
542,"asset on lease","पट्टे पर दी गई आस्ति, पट्टे पर ली गई आस्ति ,पट्टे पर दी गई परि‍संपत्ति,पट्टे पर ली गई परि‍संपत्ति",
543,"asset portfolio","आस्ति संवि‍भाग, परि‍संपत्ति संवि‍भाग",
544,"asset price bubbles","आस्ति की कीमतों में उफान,आस्ति की कीमतों में उछाल, परि‍संपत्ति की कीमतों में उफान ,परि‍संपत्ति की कीमतों में उछाल",
545,"asset quality","आस्ति गुणवत्ता, परि‍संपत्ति गुणवत्ता",
546,"asset reconstruction","आस्ति पुनर्नि‍र्माण, परि‍संपत्ति पुनर्नि‍र्माण",
547,"asset side operations","आस्ति से संबंधि‍त परि‍चालन, परि‍संपत्ति से संबंधि‍त परि‍चालन",
548,"asset stripping","आस्ति बेचना, परि‍संपत्ति बेचना ,आस्ति नि‍चोड़ना,परि‍संपत्ति नि‍चोड़ना",
549,"asset swap","आस्ति अदला-बदली",
550,"asset under management","प्रबंधनाधीन आस्ति",
551,"assets with banking system","बैंकिंग प्रणाली की आस्ति‍यां",
552,"assignee","समनुदेशि‍ती",
553,"assignees in bankruptcy","दि‍वालि‍ये की संपत्ति के  प्रबंधकर्ता , समनुदेशि‍ती",
554,"assignment","समनुदेशन",
555,"assignment of damages","हर्जाना हक-अंतरण",
556,"assignment of debt","कर्ज का समनुदेशन (लेनदार द्वारा तीसरे पक्षकार को)",
557,"assisted concern","सहायता-प्राप्त संस्थान , प्रति‍ष्ठान",
558,"associate bank","सहयोगी बैंक",
559,"associate institution","सहयोगी संस्था",
560,"associate member","सह-सदस्य",
561,"associated operations","संबद्ध कार्यकलाप",
562,"association","संघ",
563,"assumed name","कल्पि‍त नाम",
564,"assumption","ग्रहण",
565,"assumption of charge","कार्यभार ग्रहण करना",
566,"assurance","बीमा",
567,"assured","बीमाकृत",
568,"assurer","बीमाकर्ता",
569,"astronomical rates","आसमान छूते भाव",
570,"asymmetric behaviour","वि‍षम रुख",
571,"asymmetrical price movement","कीमतों में वि‍षम उतार-चढ़ाव,कीमतों में असममि‍त उतार-चढ़ाव",
572,"at a discount","बट्टे पर",
573,"at call","मांग पर",
574,"at maturity","परि‍पक्व होने पर",
